央视频道,#genre#
江门综合,http://192.168.50.1:8888/rtp/239.77.0.201:5146
江门侨乡生活,http://192.168.50.1:8888/rtp/239.77.0.202:5146
HZTV-1,http://192.168.50.1:8888/rtp/239.77.1.232:5146
HZTV-2,http://192.168.50.1:8888/rtp/239.77.1.233:5146
珠海-1,http://192.168.50.1:8888/rtp/239.77.0.155:5146
珠海-2,http://192.168.50.1:8888/rtp/239.77.0.154:5146
肇庆综合,http://192.168.50.1:8888/rtp/239.253.43.1:5146
肇庆生活服务,http://192.168.50.1:8888/rtp/239.253.43.2:5146
河源综合,http://192.168.50.1:8888/rtp/239.253.43.213:5146
河源公共,http://192.168.50.1:8888/rtp/239.253.43.214:5146
清远新闻综合,http://192.168.50.1:8888/rtp/239.253.43.33:5146
清远文旅生活,http://192.168.50.1:8888/rtp/239.253.43.34:5146
云浮综合,http://192.168.50.1:8888/rtp/239.77.0.253:5146
云浮文旅,http://192.168.50.1:8888/rtp/239.77.0.254:5146
茂名综合,http://192.168.50.1:8888/rtp/239.77.0.206:5146
茂名文化生活,http://192.168.50.1:8888/rtp/239.77.0.207:5146
汕头综合,http://192.168.50.1:8888/rtp/239.77.1.130:5146
汕头经济生活,http://192.168.50.1:8888/rtp/239.77.1.131:5146
汕头文旅体育,http://192.168.50.1:8888/rtp/239.77.1.132:5146
佛山公共,http://192.168.50.1:8888/rtp/239.253.43.53:5146
佛山南海,http://192.168.50.1:8888/rtp/239.253.43.54:5146
佛山顺德,http://192.168.50.1:8888/rtp/239.253.43.55:5146
佛山影视,http://192.168.50.1:8888/rtp/239.253.43.56:5146
佛山综合,http://192.168.50.1:8888/rtp/239.253.43.57:5146
东莞新闻综合,http://192.168.50.1:8888/rtp/239.253.43.104:5146
东莞生活资讯,http://192.168.50.1:8888/rtp/239.253.43.105:5146
中山综合,http://192.168.50.1:8888/rtp/239.253.43.62:5146
香山文化,http://192.168.50.1:8888/rtp/239.253.43.63:5146
潮州综合,http://192.168.50.1:8888/rtp/239.253.43.70:5146
潮州民生,http://192.168.50.1:8888/rtp/239.253.43.75:5146
徐闻综合,http://192.168.50.1:8888/rtp/239.253.43.112:5146
梅州-1,http://192.168.50.1:8888/rtp/239.253.43.123:5146
客家生活,http://192.168.50.1:8888/rtp/239.253.43.124:5146
数字付费,#genre#
卡酷少儿,http://192.168.50.1:8888/rtp/239.77.0.79:5146
金鹰卡通,http://192.168.50.1:8888/rtp/239.77.0.164:5146
哈哈炫动,http://192.168.50.1:8888/rtp/239.77.0.81:5146
优漫卡通,http://192.168.50.1:8888/rtp/239.77.0.222:5146
CETV-1,http://192.168.50.1:8888/rtp/239.77.0.200:5146
CETV-2,http://192.168.50.1:8888/rtp/239.77.0.28:5146
CETV-4,http://192.168.50.1:8888/rtp/239.77.1.200:5146
CETV-早期教育,http://192.168.50.1:8888/rtp/239.77.0.180:5146
山东教育卫视,http://192.168.50.1:8888/rtp/239.77.0.83:5146
财富天下,http://192.168.50.1:8888/rtp/239.77.0.113:5146
中国交通,http://192.168.50.1:8888/rtp/239.77.1.249:5146
中国天气,http://192.168.50.1:8888/rtp/239.77.1.143:5146
茶频道,http://192.168.50.1:8888/rtp/239.77.0.15:5146
快乐垂钓,http://192.168.50.1:8888/rtp/239.77.0.145:5146
金鹰纪实,http://192.168.50.1:8888/rtp/239.77.0.162:5146
纪实人文,http://192.168.50.1:8888/rtp/239.77.0.147:5146
环球奇观,http://192.168.50.1:8888/rtp/239.77.1.198:5146
书画频道,http://192.168.50.1:8888/rtp/239.77.1.115:5146
求索纪录,http://192.168.50.1:8888/rtp/239.77.0.21:5146
求索生活,http://192.168.50.1:8888/rtp/239.77.0.153:5146
武术世界,http://192.168.50.1:8888/rtp/239.77.1.108:5146
文物宝库,http://192.168.50.1:8888/rtp/239.77.1.120:5146
国学频道,http://192.168.50.1:8888/rtp/239.77.0.226:5146
汽摩,http://192.168.50.1:8888/rtp/239.77.0.209:5146
天元围棋,http://192.168.50.1:8888/rtp/239.253.43.98:5146
证券服务,http://192.168.50.1:8888/rtp/239.77.1.135:5146
IPTV频道,#genre#
IPTV1,http://192.168.50.1:8888/rtp/239.77.1.7:5146
IPTV2,http://192.168.50.1:8888/rtp/239.77.1.8:5146
IPTV3,http://192.168.50.1:8888/rtp/239.77.1.9:5146
IPTV4,http://192.168.50.1:8888/rtp/239.77.1.10:5146
IPTV爱体育,http://192.168.50.1:8888/rtp/239.77.0.176:5146
九屏同播,http://192.168.50.1:8888/rtp/239.77.1.234:5146
